id,title,genre,date,key,title_imslp,notes,sources
245,"Senza di te, ben mio",canons,c. 1777,F major,,,
246,Se tu mi vuoi,canons,c. 1777,C major,,,
247,Tre dolci e cari nomi,canons,c. 1777,F major,,,
248,Posuisti Domine,offertories,1777,F major,"Posuisti Domine, MH 248",,
249,Tantum ergo,hymns,1777,C major,,,A-Sd A 566 (659000648)
250,12 Menuetti,minuets,1777,C major,,,
251,Partita,partitas,1777-03-02,A minor,,,
252,Sinfonia,sinfonias,after 1777-03-02,C major,,,
253,Laeta quies,sequences,1777-03-11,F major,"Laeta quies magni Ducis, MH 253",,
254,Missa Sancti Hieronymi,masses,1777-09-14,C major,"Missa Sancti Hieronymi, MH 254",,
255,Zaire,incidental music,1777-09-29,D major,,,
256,Timete Dominum,offertories,1777-10-29,G major,,“Alleluia” reused in MH 385,"A-LA 1375 (603002656), A-Ee"
257,Missa Sancti Aloysii,masses,1777-12-21,B-flat major,,,
258,Litaniae de Beata Virgine Maria,litanies,c. 1775–1778,E major,,,
259,Quicunque manducaverit,offertories,c. 1775–1778,G minor,"Quicunque manducaverit, MH 259",,
260,Laudate Dominum,offertories,c. 1775–1778,C major,"Laudate Dominum, MH 260",,A-Wn Mus.Hs.22452
261,Coelitum Joseph,offertories,c. 1775–1778,F major,"Coelitum Joseph, MH 261",spurious attribution,"A-LA 1389 (603002670), A-RB R 228 (600033606)"
262,Cantata pro Festo Nativitatis,sacred cantatas,c. 1775–1778,D major,,incomplete,
263,Regina coeli,antiphons,c. 1775–1778,C major,"Regina coeli, MH 263",,
264,Regina coeli,antiphons,c. 1775–1778,B-flat major,"Regina coeli, MH 264",,A-RB R 207 (600033585)
265,Tantum ergo,hymns,c. 1775–1778,C major,,,A-Wn Mus.Hs.22458
266,"Erhebe, o Sünder",offertories,c. 1775–1778,F major,,,A-Ssp Hay 1635.1
267,Auf! Ihr Christen,arias,c. 1775–1778,F major,,,"F-Pn D-5983/1 (840016784), A-Ssp Hay 1690.1"
268,Concerto,concertos,c. 1776–1778,F major,"Harpsichord Concerto in F major, MH 268",,
269,Canta Jerusalem,offertories,1778,A major,"Canta Jerusalem, MH 269",,
270,Alma redemptoris mater,antiphons,1778,E-flat major,"Alma Redemptoris mater, MH 270",,
271,Der Tod Abels (Supplemental music),singspiele,1778,E-flat major,,supplements Johann Heinrich Rolle’s “Der Tod Abels”,
272,Sinfonia,sinfonias,1778,D major,,,
273,Divertimento,divertimentos,1778,G major,,,
274,12 Menuetti,minuets,1778,C major,,,
275,Sub vestrum praesidium,offertories,1778-03-15,F major,"Sub vestrum praesidium, MH 275",,
276,Responsoria ad Matutinum in Coena Domini,responsories,1778-04-04,B-flat major,"Responsoria in Coena Domini, MH 276",,
277,Responsoria in Parasceve,responsories,1778-04-04,F major,"Responsoria in Parasceve, MH 277",,
278,Responsoria in Sabbato Sancto,responsories,1778-04-04,C major,"Responsoria in Sabbato Sancto, MH 278",,
279,Applicatio,sacred cantatas,1778-06-07,D major,Applicatio,parts reworked in to MH 607,
280,De profundis,sequences,1778-08-26,F major,,,H-Bn Ms.mus II.39 (530001711)
281,Diffusa est gratia,offertories,1778-11-16,C major,"Diffusa est gratia, MH 281",,
282,Litaniae de Beata Virgine Maria,litanies,c. 1779,F major,,,
283,Salve Regina,antiphons,1779,B-flat major,"Salve Regina, MH 283",,
284,Sinfonia,sinfonias,1779-08-22,F major,,,
285,Der englische Patriot,singspiele,c. 1778–1780,B-flat major,,movement reworked into MH 286,
286,Justorum animae,offertories,c. 1778–1780,B-flat major,,uses material from MH 285,A-LA 1537
