id,title,genre,date,key,title_imslp,composer_imslp,notes
39,Cantate Domino,graduals,1804,C major,,,
40,Omnes de saba,graduals,1807,C major,"Omnes de Saba venient, HV 40",,
41,Sperate in Deo,graduals,1822,C major,"Sperate in Deo, HV 41",,
42,Domine Deus omnium creator,graduals,1826,C major,"Domine Deus, HV 42",,
43,Unam petii,graduals,1827,C major,,,alternative middle movement of HerEy 86
44,Per te Dei genitrix,graduals,1828,C major,,,
45,Lauda Sion,graduals,ca. 1833,C major,,,"Alleluia movement of HerEy 38, different text"
46,Os justi meditabitur,graduals,1805,C minor,,,
47,Nocte surgentes,graduals,1800,D major,,,
48,Ecce sacerdos magnus,graduals,ca. 1800,D major,,,"same as HerEy 47, but different text"
49,Te summe Jesu,graduals,1809,D major,,,
50,Tua est potentia,graduals,1822,E-flat major,"Tua est potentia, HV 50",,
51,Omni die dic / Salve Jesu dux,graduals,?,E-flat major,,,"contrafactum of the aria “Liebe! Liebe! Schöpfe ein der Freuden” (2nd act, no. 13) from HerEy 142"
52,Pater noster,graduals,?,E-flat major,,,
53,Specie tua,graduals,1796,F major,,,
54,Christus factus est,graduals,1797,F major,,,
55,Benedicamus Patrem,graduals,1820,F major,"Benedicam Dominum, HV 55",,
56,Non in multitudine,graduals,1823,F major,"Non in multitudine, HV 56",,
57,Alma redemptoris mater,graduals,1815,G major,,,
58,Victimae paschali laudes,graduals,1817,G major,,,
59,Beata gens cuius,graduals,1825,G major,,,
60,Peccata dimittis,graduals,1826,G major,,,
61,Dies sanctificatus,graduals,1827,G major,"Dies sanctificatus, HV 61",,
62,Dominus in Sina in sancto,graduals,1831,G major,,,
63,Tu Domine Pater noster,graduals,1836,G major,,,
64,Benedictus es,graduals,1834,A-flat major,,,
65,Ave Maria gratia plena,graduals,1819,A major,,,
66,Cantate Domino,graduals,1803,A major,,,"wrong attribution (actually by Michael Haydn, MH 828)"
67,Magnificate Dominum mecum,graduals,1802,B-flat major,,,
68,Exaltate Dominum Deum,graduals,1806,B-flat major,,,
69,Iste est qui ante Deum,graduals,1807,B-flat major,,,
70,Justus ut palma florebit,graduals,1807,B-flat major,,,
71,Ave regina,graduals,1819,B-flat major,,,
72,Populum humilem salvum,graduals,1829,B-flat major,,,
73,Alleluia confitemini,graduals,?,B-flat major,,,
74,Reges tharsis,graduals,?,D major,,,uncertain attribution
75,Domine cor mundum,graduals,?,?,,,uncertain attribution
76,Nos populus tuus,offertories,1822,C major,,,
77,Jubilate Deo,offertories,1823,C major,,,
78,Tui sunt coeli,offertories,1827,C major,"Tui sunt coeli, HV 78",,
79,Confirma hoc Deus,offertories,1825/1828,C major,,,
80,Ascendit Deus,offertories,1831,C major,,,
81,Tres sunt qui testimonium dant,offertories,1834,C major,,,
82,Audite vocem magnam,offertories,?,C major,,,wrong attribution (actually by Antonio Salieri)
83,Surrexit vere tumulo,offertories,?,C major,,,
84,(Quem tuus amor ebriat),offertories,1797,C major,,,duplicate entry (same as HerEy 38)
85,Terra tremuit,offertories,1797,C minor,,,
86,Si consistant,offertories,1805,C minor,"Si consistant, HV 86",,
87,Timebunt gentes,offertories,1814,C minor,"Timebunt Gentes, HV 87",,
88,Domine si observaveris iniquitates,offertories,1821,C minor,"Domine, si observaveris, HV 88",,
89,Haec est dies,offertories,1800,D major,,,final movement is shortened version of HerEy 49 with different ending
90,Summe Deus te semper,offertories,1818,D major,,,
91,Iubilate Deo,offertories,1820,D major,"Jubilate Deo, HV 91",,
92,Laus sit Deo in excelsis,offertories,?,D major,,,
93,Fremit mare,offertories,1800,D minor,"Fremit Mare, HV 93",,
94,Tremit mare,offertories,?,D minor,,,
95,Lux est orta,offertories,1806,E-flat major,,,
96,Ad te o summa bonitas,offertories,1818,E-flat major,,,
97,Levavi oculos meos,offertories,1818,E major,,,
98,Ad te levavi,offertories,1804,F major,,,
99,Confitebor Domino,offertories,?,F major,,,
100,O Maria Virgo pia,offertories,1815,G major,,,
101,Domine Deus salutis meae,offertories,1803,G major,,,"wrong attribution (actually by Michael Haydn, MH 827)"
102,Lauda Sion,offertories,1775,G major,,,"wrong attribution (actually by Michael Haydn, MH 215)"
103,Tecum principium,offertories,?,G major,,,
104,Levavi in montes oculos,offertories,1802,G minor,,,
105,Confitebor tibi Domine,offertories,1836,A major,,,
106,Laudate pueri,offertories,1802,B-flat major,,,
107,Reges Tharsis,offertories,1807,B-flat major,"Reges Tharsis, HV 107",,
108,Magna et mirabilia,offertories,1828,B-flat major,"Magna et mirabilia, HV 108",,
109,Emitte spiritum tuum,offertories,?,B-flat major,,,
110,Regina coeli,antiphons,1825,C major,,,
111,Regina coeli,antiphons,1817,D major,,,
112,Salve Regina,antiphons,1831,F major,,,
113,Salve Regina,antiphons,1809,G major,,,
114,Te Deum,te deums,1807,C major,,,
115,Te Deum,te deums,1814,C major,,,
116,Te Deum,te deums,1824,C major,,,
117,Te Deum,te deums,?,C major,,,
118,Te Deum,te deums,1800,D major,,,
119,Te Deum,te deums,1819,D major,,,
120,Te Deum,te deums,1802,B-flat major,,,
121,Veni Sancte Spiritus,hymns,1818,C major,,,
122,Alleluia,offertories,?,C major,,,Alleluia movement of HerEy 38
123,Tristes erant Apostoli,hymns,?,C minor,,,
124,Iste confessor,hymns,?,D minor,,,
125,Ecce quomodo,hymns,1816,F major,,,
